Entreprise,Volume_Actions,Prix_MAD,Variation_Pct,Ticker,Secteur,PE_Actuel,Div_Yield_Pct,PE_2023,PE_2022,BPA_2023,BPA_2022,DPA_2023,DPA_2022,RN_2023,RN_2022,Date_Collecte
ATTIJARIWAFA BANK,51268,728.0,-0.82,ATW,Banques,13.18,2.75,13.18,13.9,34.9,28.2,16.5,15.5,7507.616,102.6,2026-02-04
SMI,4524,6150.0,3.27,SMI,Matériaux,12.92,3.45,12.92,71.03,102.4,21.4,80.0,0.0,168.46,35.19,2026-02-04
CMT,5753,2370.0,2.24,CMT,Matériaux,11.55,0.94,11.55,11.99,94.4,140.1,0.0,60.0,158.63,240.69,2026-02-04
AKDITAL,10369,1130.0,-0.88,AKT,Sante,40.33,0.68,40.33,40.0,12.3,6.9,6.0,3.3,174.69,87.65,2026-02-04
SGTM S.A,13774,825.0,-1.21,GTM,équipement,,,,,18.27,13.05,,,,,2026-02-04
ALLIANCES,15570,500.0,-0.97,ADI,Immobilier,10.69,0.72,10.69,6.42,10.8,8.1,3.0,0.0,238.87,178.39,2026-02-04
CFG BANK,33517,231.0,0.43,CFG,Banques,30.11,1.39,30.11,0.0,4.7,4.7,3.3,2.3,166.03,43.89,2026-02-04
BCP,25497,275.25,-1.31,BCP,Banques,16.08,3.14,16.08,17.11,17.1,13.5,10.0,9.0,3475.292,749.08,2026-02-04
MANAGEM,831,7800.0,2.23,MNG,Matériaux,34.17,0.76,34.17,15.66,51.5,161.6,30.0,30.0,514.401,614.5,2026-02-04
MARSA MAROC,6774,925.0,-1.49,MSA,Transport,23.97,1.09,23.97,19.46,11.6,11.1,8.5,8.0,852.23,816.79,2026-02-04
LAFARGE HOLCIM MAROC,3066,1775.0,-1.39,LHM,Matériaux,29.05,3.41,29.05,22.73,66.1,59.4,66.0,66.0,1547.821,391.69,2026-02-04
TGCC,6067,848.0,-0.24,TGC,équipement,16.17,1.11,16.17,16.03,11.5,7.8,7.5,6.0,362.58,245.32,2026-02-04
CIMENTS DU MAROC,2866,1720.0,-1.09,CMA,Matériaux,25.0,2.79,25.0,20.41,67.2,62.7,70.0,60.0,970.2,905.08,2026-02-04
COSUMAR,22538,203.0,0.0,CSR,Agroalimentaire,18.22,3.76,18.22,21.84,10.7,8.7,10.0,7.0,,,2026-02-04
TOTALENERGIES,2382,1650.0,1.85,TMA,Distribution,207.14,6.01,207.14,23.82,5.6,54.5,56.0,56.0,50.25,488.12,2026-02-04
CIH,9161,390.0,-1.76,CIH,Banques,15.09,3.27,15.09,13.88,23.3,21.9,14.0,14.0,710.39,669.09,2026-02-04
SONASID,1527,2050.0,-0.68,SID,Matériaux,39.52,1.63,39.52,23.64,16.7,22.0,21.0,30.0,65.08,85.93,2026-02-04
